  sliding_eval [ 52.3%] 507232/969088 windows running_bpb=1.281694
  sliding_eval [ 52.5%] 508832/969088 windows running_bpb=1.281798
  sliding_eval [ 52.7%] 510432/969088 windows running_bpb=1.281860
  sliding_eval [ 52.8%] 512032/969088 windows running_bpb=1.281946
  sliding_eval [ 53.0%] 513632/969088 windows running_bpb=1.282054
  sliding_eval [ 53.2%] 515232/969088 windows running_bpb=1.282083
  sliding_eval [ 53.3%] 516832/969088 windows running_bpb=1.282241
  sliding_eval [ 53.5%] 518432/969088 windows running_bpb=1.282191
  sliding_eval [ 53.7%] 520032/969088 windows running_bpb=1.282256
  sliding_eval [ 53.8%] 521632/969088 windows running_bpb=1.282253
  sliding_eval [ 54.0%] 523232/969088 windows running_bpb=1.282493
  sliding_eval [ 54.2%] 524832/969088 windows running_bpb=1.282650
  sliding_eval [ 54.3%] 526432/969088 windows running_bpb=1.282717
  sliding_eval [ 54.5%] 528032/969088 windows running_bpb=1.282862
  sliding_eval [ 54.7%] 529632/969088 windows running_bpb=1.282934
  sliding_eval [ 54.8%] 531232/969088 windows running_bpb=1.282945
  sliding_eval [ 55.0%] 532832/969088 windows running_bpb=1.283180
  sliding_eval [ 55.1%] 534432/969088 windows running_bpb=1.283080
  sliding_eval [ 55.3%] 536032/969088 windows running_bpb=1.283014
  sliding_eval [ 55.5%] 537632/969088 windows running_bpb=1.283040
  sliding_eval [ 55.6%] 539232/969088 windows running_bpb=1.283169
  sliding_eval [ 55.8%] 540832/969088 windows running_bpb=1.283173
  sliding_eval [ 56.0%] 542432/969088 windows running_bpb=1.283106
  sliding_eval [ 56.1%] 544032/969088 windows running_bpb=1.283051
  sliding_eval [ 56.3%] 545632/969088 windows running_bpb=1.283258
  sliding_eval [ 56.5%] 547232/969088 windows running_bpb=1.283375
  sliding_eval [ 56.6%] 548832/969088 windows running_bpb=1.283278
  sliding_eval [ 56.8%] 550432/969088 windows running_bpb=1.283293
  sliding_eval [ 57.0%] 552032/969088 windows running_bpb=1.283366
  sliding_eval [ 57.1%] 553632/969088 windows running_bpb=1.283299
  sliding_eval [ 57.3%] 555232/969088 windows running_bpb=1.283510
  sliding_eval [ 57.5%] 556832/969088 windows running_bpb=1.283600
  sliding_eval [ 57.6%] 558432/969088 windows running_bpb=1.283568
  sliding_eval [ 57.8%] 560032/969088 windows running_bpb=1.283650
  sliding_eval [ 58.0%] 561632/969088 windows running_bpb=1.283780
  sliding_eval [ 58.1%] 563232/969088 windows running_bpb=1.283721
  sliding_eval [ 58.3%] 564832/969088 windows running_bpb=1.283628
